id;nome;needs_translation;notes
inter-25-26-special-edition-ii;Camisola Inter Milão Special Edition II 2025/26;Sim;Traduzir descrições
milan-25-26-gk;Camisola AC Milan Guarda-Redes 2025/26;Sim;Traduzir descrições
milan-25-26-away;Camisola AC Milan Alternativa 2025/26;Sim;Traduzir descrições
milan-25-26-home;Camisola AC Milan Principal 2025/26;Sim;Traduzir descrições
milan-25-26-co-branded-edition;Camisola AC Milan Co-Branded Edition 2025/26;Sim;Traduzir descrições
milan-25-26-co-branded-edition-ii;Camisola AC Milan Co-Branded Edition II 2025/26;Sim;Traduzir descrições
psg-25-26-jogador-home;Camisola PSG Jogador 2025/26 Principal;Sim;Traduzir descrições
psg-25-26-jogador-gk;Camisola PSG Jogador Guarda-Redes 2025/26;Sim;Traduzir descrições
palmeiras-25-26-away;Camisola Palmeiras Alternativa 2025/26;Sim;Traduzir descrições
palmeiras-25-26-gk;Camisola Palmeiras Guarda-Redes 2025/26;Sim;Traduzir descrições
palmeiras-25-26-home;Camisola Palmeiras Principal 2025/26;Sim;Traduzir descrições
palmeiras-25-26-gk-ii;Camisola Palmeiras Guarda-Redes II 2025/26;Sim;Traduzir descrições
flamengo-25-26-home;Camisola Flamengo Principal 2025/26;Sim;Traduzir descrições
flamengo-25-26-away;Camisola Flamengo Alternativa 2025/26;Sim;Traduzir descrições
bayern-25-26-home;Camisola Bayern Munich Principal 2025/26;Sim;Traduzir descrições
bayern-25-26-special-edition;Camisola Bayern Munich Special Edition I 2025/26;Sim;Traduzir descrições
bayern-25-26-jogador-125th-anniversary;Camisola Jogador FC Bayern Munich 125th Anniversary Red 2025/26;Sim;Traduzir descrições
dortmund-25-26-special-edition;Camisola Dortmund Special Edition 2025/26;Sim;Traduzir descrições
dortmund-25-26-jogador-special-edition-ii;Camisola Jogador Dortmund Special Edition II 2025/26;Sim;Traduzir descrições
portugal-25-26-home;Camisola Seleção Portugal Principal 2025/26;Sim;Referencia Portugal/Liga PT
celtics-25-26-home;Camisola Principal Celtic FC 2025/26;Sim;Traduzir descrições
arsenal-25-26-gk;Camisola Guarda-Redes Arsenal 2025/26;Sim;Traduzir descrições
barcelona-25-26-special-edition-iv;Camisola Barcelona Special Edition IV 2025/26;Sim;Traduzir descrições
barcelona-25-26-special-edition-v;Camisola Barcelona Special Edition V 2025/26;Sim;Traduzir descrições
barcelona-25-26-jogador-125th-anniversary;Camisola Jogador Barcelona 125th Anniversary 2025/26;Sim;Traduzir descrições
real-madrid-25-26-jogador-special-edition-vii;Camisola Jogador Real Madrid Special Edition VII 2025/26;Sim;Traduzir descrições
barcelona-25-26-special-edition-vii;Camisola Barcelona Special Edition VII 2025/26;Sim;Traduzir descrições
atletico-madrid-25-26-home;Camisola Principal Atlético Madrid 2025/26;Sim;Traduzir descrições
miami-25-26-jogador-special-edition;Camisola Jogador Miami Special Edition 2025/26;Sim;Traduzir descrições
miami-25-26-players-home;Camisola Players Miami Principal 2025/26;Sim;Traduzir descrições
fluminense-25-26-home;Camisola Principal Fluminense 2025/26;Sim;Traduzir descrições
rb-leipzig-25-26-home;Camisola Principal RB Leipzig 2025/26;Sim;Traduzir descrições
kit-crianca-barcelona-special-edition-2526;Kit Criança Barcelona Special Edition 2025/26;Sim;Categoria criança
kit-crianca-benfica-principal-2526;Kit Criança SL Benfica Principal 2025/26;Sim;"Clube português; Categoria criança"
kit-crianca-alemanha-alternativa-2526;Kit Criança Alemanha Alternativa 2025/26;Sim;Categoria criança
kit-crianca-italia-alternativa-2526;Kit Criança Itália Alternativa 2025/26;Sim;Categoria criança
kit-crianca-espanha-alternativa-2526;Kit Criança Espanha Alternativa 2025/26;Sim;Categoria criança
kit-crianca-portugal-principal-2526;Kit Criança Portugal Principal 2025/26;Sim;"Referencia Portugal/Liga PT; Categoria criança"
kit-crianca-psg-4th-fora-2526;Kit Criança PSG 4º Equipamento 2025/26;Sim;Categoria criança
kit-crianca-tottenham-principal-2526;Kit Criança Tottenham Principal 2025/26;Sim;Categoria criança
kit-crianca-barcelona-principal-2526;Kit Criança Barcelona Principal 2025/26;Sim;Categoria criança
kit-crianca-barcelona-fora-2526;Kit Criança Barcelona Fora 2025/26;Sim;Categoria criança
kit-crianca-psg-principal-2526;Kit Criança PSG Principal 2025/26;Sim;Categoria criança
kit-crianca-barcelona-principal-kids-2526;Kit Criança Barcelona Principal Kids 2025/26;Sim;Categoria criança
kit-crianca-manchester-united-principal-2526;Kit Criança Manchester United Principal 2025/26;Sim;Categoria criança
kit-crianca-real-madrid-alternativo-2526;Kit Criança Real Madrid Alternativo 2025/26;Sim;Categoria criança
liverpool-especial-25-26;Camisola Liverpool F.C. Especial 25/26;Sim;Traduzir descrições
newcastle-principal-mc-25-26;Camisola Newcastle United Principal Manga Comprida 25/26;Sim;Traduzir descrições
tottenham-principal-mc-25-26;Camisola Tottenham Hotspur Principal Manga Comprida 25/26;Sim;Traduzir descrições
manchester-united-secundaria-mc-25-26;Camisola Manchester United Secundária Manga Comprida 25/26;Sim;Traduzir descrições
chelsea-alternativa-mc-25-26;Camisola Chelsea F.C. Alternativa Manga Comprida 25/26;Sim;Traduzir descrições
manchester-city-principal-mc-25-26;Camisola Manchester City Principal Manga Comprida 25/26;Sim;Traduzir descrições
manchester-united-principal-mc-25-26;Camisola Manchester United Principal Manga Comprida 25/26;Sim;Traduzir descrições
manchester-city-alternativa-mc-25-26;Camisola Manchester City Alternativa Manga Comprida 25/26;Sim;Traduzir descrições
liverpool-terceira-mc-25-26;Camisola Liverpool F.C. Terceira Manga Comprida 25/26;Sim;Traduzir descrições
